city,year,weekofyear,total_cases
iq,2012,11,7
iq,2012,12,6
iq,2012,13,8
iq,2012,14,7
iq,2012,15,11
iq,2012,16,11
iq,2012,17,9
iq,2012,18,9
iq,2012,19,4
iq,2012,20,9
iq,2012,21,5
iq,2012,22,7
iq,2012,23,6
iq,2012,24,2
iq,2012,25,5
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,5
iq,2012,30,2
iq,2012,31,3
iq,2012,32,2
iq,2012,33,3
iq,2012,34,4
iq,2012,35,5
iq,2012,36,3
iq,2012,37,4
iq,2012,38,3
iq,2012,39,5
iq,2012,40,4
iq,2012,41,10
iq,2012,42,6
iq,2012,43,11
iq,2012,44,9
iq,2012,45,9
iq,2012,46,13
iq,2012,47,13
iq,2012,48,14
iq,2012,49,10
iq,2012,50,10
iq,2012,51,12
iq,2013,1,10
iq,2013,2,6
iq,2013,3,8
iq,2013,4,11
iq,2013,5,10
iq,2013,6,11
iq,2013,7,10
iq,2013,8,10
iq,2013,9,9
iq,2013,10,10
iq,2013,11,11
iq,2013,12,14
iq,2013,13,11
iq,2013,14,9
iq,2013,15,9
iq,2013,16,11
iq,2013,17,9
iq,2013,18,2
iq,2013,19,10
iq,2013,20,8
iq,2013,21,7
iq,2013,22,7
iq,2013,23,8
iq,2013,24,6
iq,2013,25,4
iq,2013,26,6
